"","D3","D2"
"404",1,4804
"405",2,3281
"406",1,3380
"407",2,3323
"408",2,3529
"409",1,4471
"410",1,2771
"411",1,5030
"412",1,4473
"413",1,9767
"414",2,4043
"415",3,2966
"416",1,1125
"417",1,2263
"418",1,219
"419",2,941
"420",2,1360
"421",2,3218
"422",2,4370
"423",2,4264
"424",1,5144
"425",2,4237
"426",2,4261
"427",1,4846
"428",1,4077
"429",2,68
"430",2,3513
"431",1,1958
"432",1,3936
"433",1,4956
"434",1,7606
"435",1,3956
"436",1,6464
"437",1,4388
"438",1,4386
"439",1,7883
"440",1,2912
"441",1,5766
"442",2,3415
"443",2,3000
"444",2,3975
"445",1,2590
"446",1,2491
"447",1,4284
"448",1,775
"449",2,1050
"450",1,5771
"451",1,5078
"452",2,2816
"453",1,4804
"454",2,714
"455",2,1368
"456",1,3833
"457",1,4249
"458",1,4050
"459",1,2635
"460",1,3064
"461",1,3225
"462",1,4796
"463",1,3101
"464",1,3716
"465",2,3878
"466",1,3798
"467",2,3369
"468",2,5153
"469",2,3729
"470",1,7193
"471",1,3248
"472",1,2196
"473",2,2067
"474",2,654
"475",1,2662
"476",1,2703
"477",1,237
"478",1,1690
"479",1,6447
"480",1,6004
"481",2,3381
"482",2,3252
"483",1,4822
"484",1,3347
"485",1,2317
"486",1,4036
"487",2,1802
"488",3,3430
"489",1,228
"490",1,3707
"491",1,3648
"492",2,4523
"493",2,4731
"494",1,5229
"495",2,5290
"496",1,4584
"497",1,4749
"498",1,4910
"499",1,3226
"500",1,4739
"501",2,4430
"502",1,944
"503",1,4794
"504",2,5747
"505",1,3069
"506",1,3521
"507",2,3243
"508",1,4694
"509",1,4515
"510",1,1214
"511",1,7386
"512",1,4472
"513",2,4205
"514",2,5713
"515",2,3640
"516",1,5153
"517",2,2997
"518",1,3232
"519",2,3682
"520",1,5190
"521",1,2860
"522",1,3511
"523",1,3259
"524",2,2146
"525",2,2162
"526",1,3906
"527",1,3734
"528",1,5130
"529",1,4883
"530",1,3636
"531",2,2845
"532",1,4412
"533",2,844
"534",2,1835
"535",1,2931
"536",2,3031
"537",2,3276
"538",1,4381
"539",2,4418
"540",1,4219
"541",1,4335
"542",1,4109
"543",1,3552
"544",1,1911
"545",1,3578
"546",1,907
"547",1,3916
"548",1,4428
"549",2,1674
"550",2,2131
"551",1,5020
"552",2,2126
"553",2,3040
"554",2,1725
"555",1,4299
"556",1,3058
"557",1,3666
"558",1,3108
"559",1,2380
"560",2,3291
"561",2,3558
"562",1,1970
"563",1,1914
"564",1,478
"565",1,3817
"566",2,3194
"567",2,3140
"568",1,3057
"569",1,5345
"570",2,2067
"571",1,2862
"572",1,3133
"573",1,3508
"574",1,5928
"575",1,3611
"576",1,5475
"577",1,8026
"578",1,3416
"579",1,3956
"580",2,3794
"581",1,4005
"582",1,3339
"583",1,5359
"584",1,3125
"585",1,962
"586",1,4273
"587",1,1381
"588",2,5477
"589",1,3001
"590",2,1695
"591",1,3548
"592",1,516
"593",2,3588
"594",1,3754
"595",1,3952
"596",2,3391
"597",2,5742
"598",1,4633
"599",2,4370
"600",1,1099
"601",2,6160
"602",2,3607
"603",2,2886
"604",1,5156
"605",1,5016
"606",1,3827
"607",1,4048
"608",1,3271
"609",3,2710
"610",1,3165
"611",3,4749
"612",2,3627
"613",1,4911
"614",2,4557
"615",1,1832
"616",1,3704
"617",1,1498
"618",2,6412
"619",2,4749
"620",1,899
"621",1,4332
"622",1,4009
"623",2,2670
"624",1,3859
"625",1,680
"626",1,5997
"627",1,4307
"628",1,4096
"629",1,5026
"630",1,4858
"631",2,4082
"632",1,4505
"633",1,4100
"634",1,3266
"635",1,3471
"636",1,3322
"637",1,5377
"638",1,5861
"639",1,3790
"640",1,5828
"641",1,4066
"642",2,3826
"643",1,1609
"644",1,941
"645",1,3901
"646",1,3617
"647",1,820
"648",1,616
"649",1,3813
"650",1,4725
"651",2,4707
"652",1,3599
"653",2,3284
"654",1,895
"655",1,4620
"656",1,4627
"657",1,1807
"658",1,2661
"659",1,974
"660",1,4471
"661",1,4230
"662",1,277
"663",2,1432
"664",1,4836
"665",1,4275
"666",2,469
"667",1,411
"668",1,3551
"669",2,2914
"670",1,2824
"671",1,2541
"672",2,4131
"673",2,2376
"674",2,34
"675",1,3988
"676",1,6374
"677",2,3130
"678",1,4942
"679",2,5509
"680",2,4288
"681",2,4051
"682",1,3420
"683",1,4637
"684",1,3814
"685",1,3771
"686",2,3297
"687",1,6636
"688",1,5247
"689",1,5199
"690",1,4022
"691",2,2692
"692",2,2714
"693",1,3736
"694",1,5590
"695",1,4166
"696",1,3073
"697",1,4818
"698",1,3395
"699",2,3328
"700",2,512
"701",1,4803
"702",2,3066
"703",2,60
"704",1,3953
"705",1,3553
"706",1,2900
"707",1,4412
"708",1,3904
"709",1,4995
"710",2,3434
"711",2,2655
"712",1,848
"713",2,4861
"714",2,665
"715",2,4815
"716",1,2310
"717",1,2823
"718",1,5465
"719",1,219
"720",2,4323
"721",1,2636
"722",1,2179
"723",1,2869
"724",1,3212
"725",1,3442
"726",1,3641
"727",1,5015
"728",2,1778
"729",1,4516
"730",1,4653
"731",2,4064
"732",1,4500
"733",1,3642
"734",1,627
"735",2,3181
"736",2,2692
"737",2,298
"738",1,3644
"739",1,5169
"740",1,1934
"741",2,2792
"742",1,5376
"743",2,3294
"744",1,772
"745",1,2733
"746",1,3467
"747",1,3813
"748",1,1410
"749",1,3742
"750",2,3760
"751",1,4716
"752",1,3986
"753",1,4514
"754",1,2877
"755",1,4620
